date,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1800-07-31,0,0,0,0,6,3,3,12
1800-08-01,0,0,0,0,6,3,3,12
1800-08-02,0,0,0,0,6,3,3,12
1800-08-03,0,0,0,0,6,3,3,12
1800-08-04,0,0,0,0,6,3,3,12
1800-08-05,0,0,0,0,6,3,3,12
1800-08-06,0,0,0,0,6,3,3,12
1800-08-07,0,0,0,0,6,3,3,12
1800-08-08,0,0,0,0,6,3,3,12
1800-08-09,0,0,0,0,6,3,3,12
1800-08-10,0,0,0,0,6,3,3,12
1800-08-11,0,0,0,0,6,3,3,12
1800-08-12,0,0,0,0,6,3,3,12
1800-08-13,0,0,0,0,6,3,3,12
1800-08-14,0,0,0,0,6,3,3,12
1800-08-15,0,0,0,0,6,3,3,12
1800-08-16,0,0,0,0,6,3,3,12
1800-08-17,0,0,0,0,6,3,3,12
1800-08-18,0,0,0,0,6,3,3,12
1800-08-19,0,0,0,0,6,3,3,12
1800-08-20,0,0,0,0,6,3,3,12
1800-08-21,0,0,0,0,6,3,3,12
1800-08-22,0,0,0,0,6,3,3,12
1800-08-23,0,0,0,0,6,3,3,12
1800-08-24,0,0,0,0,6,3,3,12
1800-08-25,0,0,0,0,6,3,3,12
1800-08-26,0,0,0,0,6,3,3,12
1800-08-27,0,0,0,0,6,3,3,12
1800-08-28,0,0,0,0,6,3,3,12
1800-08-29,0,0,0,0,6,3,3,12
1800-08-30,0,0,0,0,6,3,3,12
1800-08-31,0,0,0,0,6,3,3,12
1800-09-01,0,0,0,0,6,3,3,12
1800-09-02,0,0,0,0,6,3,3,12
1800-09-03,0,0,0,0,6,3,3,12
1800-09-04,0,0,0,0,6,3,3,12
1800-09-05,0,0,0,0,6,3,3,12
1800-09-06,0,0,0,0,6,3,3,12
1800-09-07,0,0,0,0,6,3,3,12
1800-09-08,0,0,0,0,6,3,3,12
1800-09-09,0,0,0,0,6,3,3,12
1800-09-10,0,0,0,0,6,3,3,12
1800-09-11,0,0,0,0,6,3,3,12
1800-09-12,0,0,0,0,6,3,3,12
1800-09-13,0,0,0,0,6,3,3,12
1800-09-14,0,0,0,0,6,3,3,12
1800-09-15,0,0,0,0,6,3,3,12
1800-09-16,0,0,0,0,6,3,3,12
1800-09-17,0,0,0,0,6,3,3,12
1800-09-18,0,0,0,0,6,3,3,12
1800-09-19,0,0,0,0,6,3,3,12
1800-09-20,0,0,0,0,6,3,3,12
1800-09-21,0,0,0,0,6,3,3,12
1800-09-22,0,0,0,0,6,3,3,12
1800-09-23,0,0,0,0,6,3,3,12
1800-09-24,0,0,0,0,6,3,3,12
1800-09-25,0,0,0,0,6,3,3,12
1800-09-26,0,0,0,0,6,3,3,12
1800-09-27,0,0,0,0,6,3,3,12
1800-09-28,0,0,0,0,6,3,3,12
1800-09-29,0,0,0,0,6,3,3,12
1800-09-30,0,0,0,0,6,3,3,12
1800-10-01,0,0,0,0,6,3,3,12
1800-10-02,0,0,0,0,6,3,3,12
1800-10-03,0,0,0,0,6,3,3,12
1800-10-04,0,0,0,0,6,3,3,12
1800-10-05,0,0,0,0,6,3,3,12
1800-10-06,0,0,0,0,6,3,3,12
1800-10-07,0,0,0,0,6,3,3,12
1800-10-08,0,0,0,0,6,3,3,12
1800-10-09,0,0,0,0,6,3,3,12
1800-10-10,0,0,0,0,6,3,3,12
1800-10-11,0,0,0,0,6,3,3,12
1800-10-12,0,0,0,0,6,3,3,12
1800-10-13,0,0,0,0,6,3,3,12
1800-10-14,0,0,0,0,6,3,3,12
1800-10-15,0,0,0,0,6,3,3,12
1800-10-16,0,0,0,0,6,3,3,12
1800-10-17,0,0,0,0,6,3,3,12
1800-10-18,0,0,0,0,6,3,3,12
1800-10-19,0,0,0,0,6,3,3,12
1800-10-20,0,0,0,0,6,3,3,12
1800-10-21,0,0,0,0,6,3,3,12
1800-10-22,0,0,0,0,6,3,3,12
1800-10-23,0,0,0,0,6,3,3,12
1800-10-24,0,0,0,0,6,3,3,12
1800-10-25,0,0,0,0,6,3,3,12
1800-10-26,0,0,0,0,6,3,3,12
1800-10-27,0,0,0,0,6,3,3,12
1800-10-28,0,0,0,0,6,3,3,12
1800-10-29,0,0,0,0,6,3,3,12
1800-10-30,0,0,0,0,6,3,3,12
1800-10-31,0,0,0,0,6,3,3,12
1800-11-01,0,0,0,0,6,3,3,12
1800-11-02,0,0,0,0,6,3,3,12
1800-11-03,0,0,0,0,6,3,3,12
1800-11-04,0,0,0,0,6,3,3,12
1800-11-05,0,0,0,0,6,3,3,12
1800-11-06,0,0,0,0,6,3,3,12
1800-11-07,0,0,0,0,6,3,3,12
1800-11-08,0,0,0,0,6,3,3,12
1800-11-09,0,0,0,0,6,3,3,12
1800-11-10,0,0,0,0,6,3,3,12
1800-11-11,0,0,0,0,6,3,3,12
1800-11-12,0,0,0,0,6,3,3,12
1800-11-13,0,0,0,0,6,3,3,12
1800-11-14,0,0,0,0,6,3,3,12
1800-11-15,0,0,0,0,6,3,3,12
1800-11-16,0,0,0,0,6,3,3,12
1800-11-17,0,0,0,0,6,3,3,12
1800-11-18,0,0,0,0,6,3,3,12
1800-11-19,0,0,0,0,6,3,3,12
1800-11-20,0,0,0,0,6,3,3,12
1800-11-21,0,0,0,0,6,3,3,12
1800-11-22,0,0,0,0,6,3,3,12
1800-11-23,0,0,0,0,6,3,3,12
1800-11-24,0,0,0,0,6,3,3,12
1800-11-25,0,0,0,0,6,3,3,12
1800-11-26,0,0,0,0,6,3,3,12
1800-11-27,0,0,0,0,6,3,3,12
1800-11-28,0,0,0,0,6,3,3,12
