polling_place_key,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Durham Township Building | 215 Old Furnace Rd Durham PA 18039 | Durham,953,942,10466,5076,5179,1577,5287,3499,856,331,10.98,5.33,47.15,48.5,30.45,66.18,38.67,2,2,1,5,2026,Durham Township Building,215 Old Furnace Rd Durham PA 18039,Durham,11000,11000-1,Durham Twp.
East Swamp church youth center | 2405 E Swamp Rd Quakertown PA 18951 | Quakertown,1403,1390,15321,6680,7579,2041,7742,4639,1241,407,10.92,4.76,42.72,43.6,26.93,59.92,32.8,2,2,2,6,2026,East Swamp church youth center,2405 E Swamp Rd Quakertown PA 18951,Quakertown,23020,23020-1,Milford Twp. Roseville
Edgewood Elementary School | 899 Oxford Valley Rd Morrisville PA 19067 | Yardley,3145,3125,34420,17142,17022,4998,17398,12144,2787,1012,10.94,5.45,48.46,49.8,29.36,69.8,36.31,7,2,4,13,2026,Edgewood Elementary School,899 Oxford Valley Rd Morrisville PA 19067,Yardley,20025; 20026; 20028,20025-1; 20026-1; 20028-1,Lower Makefield Twp. South 5; Lower Makefield Twp. South 6; Lower Makefield Twp. South 8
Eleanor Roosevelt Elementary School | 185 Walton Dr Morrisville PA 19067 | Morrisville,4795,4726,50538,19655,24912,5474,25626,14181,4071,1123,10.54,4.1,37.42,38.89,21.97,55.34,27.59,18,19,8,45,2026,Eleanor Roosevelt Elementary School,185 Walton Dr Morrisville PA 19067,Morrisville,13013; 13015; 13016,13013-1; 13015-1; 13016-1,Falls Twp. 1 - 3; Falls Twp. 1 - 5; Falls Twp. 1 - 6
Emmaus Road Lutheran Church | 2185 Bristol Oxford Valley Rd Levittown PA 19057 | Levittown,2641,2613,28707,11630,14185,3327,14522,8303,2339,681,10.87,4.4,39.27,40.51,23.45,57.18,29.12,8,3,5,16,2026,Emmaus Road Lutheran Church,2185 Bristol Oxford Valley Rd Levittown PA 19057,Levittown,22060; 22090,22060-1; 22090-1,Middletown Twp. Lower 6; Middletown Twp. Lower 9
Everett A. McDonald Elementary School | 666 Reeves Ln Warminster PA 18974 | Warminster,3234,3200,35189,15110,17411,4681,17778,10429,2847,931,10.88,4.67,41.43,42.94,26.89,58.66,32.7,12,6,4,22,2026,Everett A. McDonald Elementary School,666 Reeves Ln Warminster PA 18974,Warminster,49050; 49110,49050-1; 49110-1,Warminster Twp. District 11; Warminster Twp. District 5
Fallsington Elementary School | 134 Yardley Ave Fallsington PA 19054 | Fallsington,3785,3729,40009,13513,19744,3746,20265,9767,3227,732,10.57,3.57,32.49,33.77,18.97,48.2,22.68,18,15,7,40,2026,Fallsington Elementary School,134 Yardley Ave Fallsington PA 19054,Fallsington,13011; 13017,13011-1; 13017-1,Falls Twp. 1 - 1; Falls Twp. 1 - 7
Feasterville Fire House | 20 Irving Pl Feasterville Trevose PA 19053 | Feasterville,1371,1360,14615,5703,7212,1580,7403,4123,1175,330,10.66,4.16,37.39,39.02,21.91,55.69,28.09,2,4,2,8,2026,Feasterville Fire House,20 Irving Pl Feasterville Trevose PA 19053,Feasterville,21026,21026-1,Lower Southampton Twp. West 6
First Church of the Brethren | 455 Trumbauersville Rd Quakertown PA 18951 | Quakertown,2456,2431,26381,10317,13036,2802,13345,7515,2134,581,10.74,4.2,37.62,39.11,21.49,56.31,27.23,6,6,4,16,2026,First Church of the Brethren,455 Trumbauersville Rd Quakertown PA 18951,Quakertown,36040,36040-1,Richland Twp. District 4
First United Church of Christ | 151 S 4th St Quakertown PA 18951 | Quakertown,834,823,8725,2849,4306,791,4419,2058,697,164,10.46,3.42,31.09,32.65,18.37,46.57,23.53,3,3,2,8,2026,First United Church of Christ,151 S 4th St Quakertown PA 18951,Quakertown,35020,35020-1,Quakertown Borough 2nd Ward
Forest Grove Presbyterian Church | 1856 Forest Grove Rd Forest Grove PA 18922 | Forest Grove,3274,3238,34825,15948,17161,4566,17664,11382,2798,900,10.64,4.87,44.51,45.79,26.61,64.44,32.17,11,5,4,20,2026,Forest Grove Presbyterian Church,1856 Forest Grove Rd Forest Grove PA 18922,Forest Grove,06011,06011-1,Buckingham Twp. Lower 1
Forrest Lodge VFW | 2118 Old Bethlehem Pike Sellersville PA 18960 | Sellersville,2689,2669,29864,13978,14809,4510,15055,9468,2433,885,11.11,5.2,45.62,46.81,30.45,62.89,36.37,5,6,5,16,2026,Forrest Lodge VFW,2118 Old Bethlehem Pike Sellersville PA 18960,Sellersville,52020,52020-1,West Rockhill Twp. Rockhill
Goodnoe Elementary School | 298 Frost Ln Newtown PA 18940 | Newtown,4250,4219,46535,22635,23010,6861,23525,15774,3777,1446,10.95,5.33,47.48,48.64,29.82,67.05,38.28,7,4,4,15,2026,Goodnoe Elementary School,298 Frost Ln Newtown PA 18940,Newtown,29030; 29060,29030-1; 29060-1,Newtown Twp. District 3; Newtown Twp. District 6
Grace Bible Fellowship Church | 1811 N Old Bethlehem Pike Quakertown PA 18951 | Quakertown,1692,1668,18164,6666,8979,1940,9185,4726,1469,387,10.74,3.94,35.65,36.7,21.61,51.45,26.34,7,7,4,18,2026,Grace Bible Fellowship Church,1811 N Old Bethlehem Pike Quakertown PA 18951,Quakertown,36030,36030-1,Richland Twp. District 3
Grace Community Church | 300 Highpoint Dr Chalfont PA 18914 | Chalfont,1669,1656,18152,8557,8973,2541,9179,6016,1470,503,10.88,5.13,45.74,47.14,28.32,65.54,34.22,4,4,1,9,2026,Grace Community Church,300 Highpoint Dr Chalfont PA 18914,Chalfont,26021,26021-1,New Britain Twp. West 1
Grandview Elementary School | 80 Grandview Ave Morrisville PA 19067 | Morrisville,1692,1656,17253,5893,8494,1543,8759,4350,1371,313,10.2,3.48,32.5,34.16,18.17,49.66,22.83,11,7,2,20,2026,Grandview Elementary School,80 Grandview Ave Morrisville PA 19067,Morrisville,24040,24040-1,Morrisville Borough 4th Ward
Grundy Hall | 1290 Almshouse Rd Doylestown PA 18901 | Doylestown,1632,1611,17830,8573,8834,2752,8996,5821,1444,525,10.93,5.25,47.11,48.08,31.15,64.71,36.36,7,5,2,14,2026,Grundy Hall,1290 Almshouse Rd Doylestown PA 18901,Doylestown,09070,09070-1,Doylestown Twp. District 7
Grundy House | 1611 Park Ave Quakertown PA 18951 | Quakertown,1285,1259,13736,5582,6789,1707,6947,3875,1114,341,10.69,4.34,39.14,40.64,25.14,55.78,30.61,6,9,6,21,2026,Grundy House,1611 Park Ave Quakertown PA 18951,Quakertown,35012,35012-1,Quakertown Borough 1 - 2
Harry S Truman High School | 3001 Green Ln Levittown PA 19057 | Levittown,4714,4644,50105,17423,24735,4978,25370,12445,4046,1009,10.63,3.7,33.47,34.77,20.13,49.05,24.94,15,21,11,47,2026,Harry S Truman High School,3001 Green Ln Levittown PA 19057,Levittown,05023; 05063; 05101; 05102; 05103,05023-1; 05063-1; 05101-1; 05102-1; 05103-1,Bristol Twp. 10 - 1; Bristol Twp. 10 - 2; Bristol Twp. 10 - 3; Bristol Twp. 2 - 3; Bristol Twp. 6 - 3
Haycock Township Community Center | 1014 Old Bethlehem Rd Quakertown PA 18951 | Quakertown,1794,1783,20139,10081,9991,3307,10148,6774,1650,660,11.23,5.62,49.06,50.06,33.1,66.75,40.0,1,4,2,7,2026,Haycock Township Community Center,1014 Old Bethlehem Rd Quakertown PA 18951,Quakertown,14000,14000-1,Haycock Twp.
Herbert Hoover Elementary School | 501 Trenton Rd Langhorne PA 19047 | Langhorne,5484,5411,58235,20607,28731,5806,29504,14801,4674,1209,10.62,3.76,34.43,35.39,20.21,50.17,25.87,29,14,8,51,2026,Herbert Hoover Elementary School,501 Trenton Rd Langhorne PA 19047,Langhorne,22020; 22130,22020-1; 22130-1,Middletown Twp. Lower 13; Middletown Twp. Lower 2
Hillcrest Elementary School | 420 E Holland Rd Southampton PA 18966 | Southampton,1350,1342,15042,6408,7453,1796,7589,4612,1229,384,11.14,4.75,41.48,42.6,24.1,60.77,31.24,4,2,1,7,2026,Hillcrest Elementary School,420 E Holland Rd Southampton PA 18966,Southampton,31030,31030-1,Northampton Twp. District 3
Hilltown Baptist Church | 26 Upper Church Rd Chalfont PA 18914 | Chalfont,2416,2398,26539,12536,13124,3830,13415,8706,2159,802,10.98,5.19,45.77,47.24,29.18,64.9,37.15,4,3,4,11,2026,Hilltown Baptist Church,26 Upper Church Rd Chalfont PA 18914,Chalfont,15030,15030-1,Hilltown Twp. Hilltown
Hilltown Township Municipal Building | 13 W Creamery Rd Hilltown Township PA 18927 | Hilltown,3963,3917,42683,18339,21093,5262,21590,13077,3447,1039,10.77,4.63,41.66,42.97,24.95,60.57,30.14,9,17,7,33,2026,Hilltown Township Municipal Building,13 W Creamery Rd Hilltown Township PA 18927,Hilltown,15012; 15013,15012-1; 15013-1,Hilltown Twp. Blooming Glen 2; Hilltown Twp. Blooming Glen 3
Holland Elementary School | 597 Beverly Rd Holland PA 18966 | Holland,1940,1932,21460,10084,10615,2985,10845,7099,1745,614,11.06,5.2,45.77,46.99,28.12,65.46,35.19,1,1,2,4,2026,Holland Elementary School,597 Beverly Rd Holland PA 18966,Holland,31050,31050-1,Northampton Twp. District 5
Holland Elementary School | 597 Beverly Rd Holland PA 18966 | Richboro,2145,2132,23522,10484,11634,3045,11888,7439,1905,670,10.97,4.89,43.32,44.57,26.17,62.58,35.17,3,1,4,8,2026,Holland Elementary School,597 Beverly Rd Holland PA 18966,Richboro,31060,31060-1,Northampton Twp. District 6
Holland Middle School | 400 E Holland Rd Holland PA 18966 | Holland,1802,1792,19773,9847,9785,3119,9988,6728,1603,639,10.97,5.46,48.54,49.8,31.88,67.36,39.86,2,4,1,7,2026,Holland Middle School,400 E Holland Rd Holland PA 18966,Holland,31090,31090-1,Northampton Twp. District 9
Ivyland Presbyterian Church | 51 Gough Ave Ivyland PA 18974 | Ivyland,702,698,7676,3502,3801,1109,3875,2393,622,203,10.93,4.99,44.04,45.62,29.18,61.75,32.64,1,1,2,4,2026,Ivyland Presbyterian Church,51 Gough Ave Ivyland PA 18974,Ivyland,17000,17000-1,Ivyland Borough
