polling_place_key,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Bensalem High School | 4319 Hulmeville Rd Bensalem PA 19020 | Bensalem,1854,731,2235,1000,224,1186,53.94,53.06,30.64,4820,2410,50.0,Bensalem High School,4319 Hulmeville Rd Bensalem PA 19020,Bensalem,02015; 02016; 02018,02015-1; 02016-1; 02018-1,Bensalem Twp. Lower East 5; Bensalem Twp. Lower East 6; Bensalem Twp. Lower East 8
Blooming Glen Mennonite church | 713 Blooming Glen Rd Blooming Glen PA 18911 | Blooming Glen,515,343,1171,352,131,711,68.35,60.72,38.19,2029,1194,58.85,Blooming Glen Mennonite church,713 Blooming Glen Rd Blooming Glen PA 18911,Blooming Glen,15011,15011-1,Hilltown Twp. Blooming Glen 1
Boy Scout Council | 1 Scout Way Doylestown PA 18901 | Doylestown,469,193,252,296,87,125,63.11,49.6,45.08,914,508,55.58,Boy Scout Council,1 Scout Way Doylestown PA 18901,Doylestown,08032,08032-1,Doylestown Borough 3 - 2
Bridgeton Twp Building | 1370 Bridgeton Hill Rd Upper Black Eddy PA 18972 | Upper Black Eddy,323,216,457,209,76,199,64.71,43.54,35.19,996,484,48.59,Bridgeton Twp Building,1370 Bridgeton Hill Rd Upper Black Eddy PA 18972,Upper Black Eddy,03000,03000-1,Bridgeton Twp.
Bristol Borough Junior/Senior High School | 1801 Wilson Ave Bristol PA 19007 | Bristol,1237,292,651,721,62,298,58.29,45.78,21.23,2180,1081,49.59,Bristol Borough Junior/Senior High School,1801 Wilson Ave Bristol PA 19007,Bristol,04021; 04022,04021-1; 04022-1,Bristol Borough East 1; Bristol Borough East 2
Bristol Township Municipal Building | 2501 Bath Rd Bristol PA 19007 | Levittown,1281,374,647,553,63,251,43.17,38.79,16.84,2302,867,37.66,Bristol Township Municipal Building,2501 Bath Rd Bristol PA 19007,Levittown,05031; 05032,05031-1; 05032-1,Bristol Twp. 3 - 1; Bristol Twp. 3 - 2
Brookwood Elem School | 2200 Haines Rd Levittown PA 19055 | Levittown,1955,787,1567,952,163,596,48.7,38.03,20.71,4309,1711,39.71,Brookwood Elem School,2200 Haines Rd Levittown PA 19055,Levittown,05071; 05111; 05112,05071-1; 05111-1; 05112-1,Bristol Twp. 11 - 1; Bristol Twp. 11 - 2; Bristol Twp. 7 - 1
Buckingham Springs Clubhouse | 1490 Durham Rd New Hope PA 18938 | New Hope,560,268,744,407,119,463,72.68,62.23,44.4,1572,989,62.91,Buckingham Springs Clubhouse,1490 Durham Rd New Hope PA 18938,New Hope,06012,06012-1,Buckingham Twp. Lower 2
Buckingham Township Building | 4613 Hughesian Dr Buckingham PA 18912 | Buckingham,1540,798,1662,1009,306,960,65.52,57.76,38.35,4000,2275,56.88,Buckingham Township Building,4613 Hughesian Dr Buckingham PA 18912,Buckingham,06021; 06022,06021-1; 06022-1,Buckingham Twp. Middle 1; Buckingham Twp. Middle 2
Bucks County Bar Association | 135 E State St Doylestown PA 18901 | Doylestown,566,184,364,415,82,223,73.32,61.26,44.57,1114,720,64.63,Bucks County Bar Association,135 E State St Doylestown PA 18901,Doylestown,08011,08011-1,Doylestown Borough 1 - 1
