precinct_code,municipality_district,polling_place,full_address,post_office
44010,Tinicum Twp. Delaware,Delaware Valley Fire Company,75 Headquarters Rd Erwinna PA 18920,Erwinna
44020,Tinicum Twp. Tinicum,Ottsville Fire Company,249 Durham Rd Ottsville PA 18942,Ottsville
44030,Tinicum Twp. Tohickon,Tinicum Township Building,163 Municipal Rd Pipersville PA 18947,Pipersville
45000,Trumbauersville Boro,Trumbauersville Borough Building,1 Evergreen Dr Trumbauersville PA 18970,Trumbauersville
46000,Tullytown Borough,Tullytown Borough Hall,500 Main St Tullytown PA 19007,Tullytown
47010,Upper Makefield Twp. District 1,Sol Feinstone Elementary School,1090 Eagle Rd Newtown PA 18940,Newtown
47020,Upper Makefield Twp. District 2,Ascension Lutheran Church,900 Washington Crossing Rd Newtown PA 18940,Newtown
47030,Upper Makefield Twp. District 3,Sol Feinstone Elementary School,1090 Eagle Rd Newtown PA 18940,Newtown
47040,Upper Makefield Twp. District 4,Ascension Lutheran Church,900 Washington Crossing Rd Newtown PA 18940,Newtown
48011,Upper Southampton Twp. East 1,Southampton Fire House,925 Street Rd Southampton PA 18966,Southampton
48012,Upper Southampton Twp. East 2,North and Southampton Reformed Church,1380 Bristol Rd Churchville PA 18966,Churchville
48021,Upper Southampton Twp. North 1,Upper Southampton Township Parks & Recreation,913 Willow St Southampton PA 18966,Southampton
48022,Upper Southampton Twp. North 2,Klinger Middle School,1415 2nd Street Pike Southampton PA 18966,Southampton
48023,Upper Southampton Twp. North 3,William W.H. Davis Elementary School,475 Maple Ave Southampton PA 18966,Southampton
48024,Upper Southampton Twp. North 4,William W.H. Davis Elementary School,475 Maple Ave Southampton PA 18966,Southampton
48031,Upper Southampton Twp. South 1,Southampton Fire House,925 Street Rd Southampton PA 18966,Southampton
48032,Upper Southampton Twp. South 2,Southampton Fire House,925 Street Rd Southampton PA 18966,Southampton
48041,Upper Southampton Twp. West 1,Upper Southampton Township Parks & Recreation,913 Willow St Southampton PA 18966,Southampton
48042,Upper Southampton Twp. West 2,Upper Southampton Township Parks & Recreation,913 Willow St Southampton PA 18966,Southampton
49010,Warminster Twp. District 1,Warminster Library,1076 Emma Ln Warminster PA 18974,Warminster
49020,Warminster Twp. District 2,Warminster Community Center,75 Downey Dr Warminster PA 18974,Warminster
49030,Warminster Twp. District 3,Warminster Presbyterian Church,500 Madison Ave Warminster PA 18974,Warminster
49040,Warminster Twp. District 4,Warminster Township Building,401 Gibson Ave #1 Warminster PA 18974,Warminster
49050,Warminster Twp. District 5,Everett A. McDonald Elementary School,666 Reeves Ln Warminster PA 18974,Warminster
49060,Warminster Twp. District 6,Willow Dale Elementary School,720 N Norristown Rd Warminster PA 18974,Warminster
49070,Warminster Twp. District 7,Seventh-Day Adventist Church,10 Greene Rd Warminster PA 18974,Warminster
49080,Warminster Twp. District 8,Benjamin H. Wilson Senior Center,580 Delmont Ave Warminster PA 18974,Warminster
49090,Warminster Twp. District 9,Log College Middle School,730 N Norristown Rd Warminster PA 18974,Warminster
49100,Warminster Twp. District 10,William Tennent High School,333 Centennial Rd Warminster PA 18974,Warminster
49110,Warminster Twp. District 11,Everett A. McDonald Elementary School,666 Reeves Ln Warminster PA 18974,Warminster
49120,Warminster Twp. District 12,Benjamin H. Wilson Senior Center,580 Delmont Ave Warminster PA 18974,Warminster
49130,Warminster Twp. District 13,Willow Dale Elementary School,720 N Norristown Rd Warminster PA 18974,Warminster
49140,Warminster Twp. District 14,Ann's Choice Senior Living Community,"30000 Anns Choice Way, Warminster, PA 18974",Warminster
49150,Warminster Twp. District 15,Log College Middle School,730 N Norristown Rd Warminster PA 18974,Warminster
49160,Warminster Twp. District 16,William Tennent High School,333 Centennial Rd Warminster PA 18974,Warminster
49170,Warminster Twp. District 17,Warminster Library,1076 Emma Ln Warminster PA 18974,Warminster
50010,Warrington Twp. District 1,Warrington Township Building,852 Easton Rd Warrington PA 18976,Warrington
50020,Warrington Twp. District 2,Central Bucks High School South,1100 Folly Rd Warrington PA 18976,Warrington
50030,Warrington Twp. District 3,Warrington Fellowship Church,1455 Cooper Ln Warrington PA 18976,Warrington
50040,Warrington Twp. District 4,Titus Elementary School,2333 Lower Barness Rd Warrington PA 18976,Warrington
50050,Warrington Twp. District 5,Warrington Fellowship Church,1455 Cooper Ln Warrington PA 18976,Warrington
50060,Warrington Twp. District 6,Central Bucks High School South,1100 Folly Rd Warrington PA 18976,Warrington
50070,Warrington Twp. District 7,Central Bucks High School South,1100 Folly Rd Warrington PA 18976,Warrington
50080,Warrington Twp. District 8,Warrington Fire Company,2310 Freedoms Way Warrington PA 18976,Warrington
51010,Warwick Twp. District 1,Warwick Township Building,1733 Twp Green Jamison PA 18929,Jamison
51020,Warwick Twp. District 2,St. Cyril of Jerusalem,1410 Almshouse Rd Jamison PA 18929,Jamison
51030,Warwick Twp. District 3,Warwick township firehouse,2390 York Rd Jamison PA 18929,Jamison
51040,Warwick Twp. District 4,Warwick Township Building,1733 Twp Green Jamison PA 18929,Jamison
51050,Warwick Twp. District 5,St. Cyril of Jerusalem,1410 Almshouse Rd Jamison PA 18929,Jamison
52010,West Rockhill Twp. Argus,St. John's Lutheran Church,910 Allentown Rd Sellersville PA 18960,Sellersville
52020,West Rockhill Twp. Rockhill,Forrest Lodge VFW,2118 Old Bethlehem Pike Sellersville PA 18960,Sellersville
53000,Wrightstown Twp.,Anchor Presbyterian Church,980 Durham Rd Newtown PA 18940,Wrightstown
54000,Yardley Borough,Yardley-Makefield Fire Company,105 S Main St Yardley PA 19067,Yardley
