precinct_code,municipality_district,polling_place,full_address,post_office
20021,Lower Makefield Twp. South 1,Makefield Elementary School,1939 Makefield Rd Yardley PA 19067,Yardley
20022,Lower Makefield Twp. South 2,Pennwood Middle School,1523 Makefield Rd Yardley PA 19067,Yardley
20023,Lower Makefield Twp. South 3,Makefield Elementary School,1939 Makefield Rd Yardley PA 19067,Yardley
20024,Lower Makefield Twp. South 4,Charles Boehm Middle School,866 Big Oak Rd Yardley PA 19067,Yardley
20025,Lower Makefield Twp. South 5,Edgewood Elementary School,899 Oxford Valley Rd Morrisville PA 19067,Yardley
20026,Lower Makefield Twp. South 6,Edgewood Elementary School,899 Oxford Valley Rd Morrisville PA 19067,Yardley
20027,Lower Makefield Twp. South 7,Pennwood Middle School,1523 Makefield Rd Yardley PA 19067,Yardley
20028,Lower Makefield Twp. South 8,Edgewood Elementary School,899 Oxford Valley Rd Morrisville PA 19067,Yardley
20029,Lower Makefield Twp. South 9,Charles Boehm Middle School,866 Big Oak Rd Yardley PA 19067,Yardley
21011,Lower Southampton Twp. East 1,Lower Southampton Early Learning Center,7 School Ln Feasterville Trevose PA 19053,Feasterville
21012,Lower Southampton Twp. East 2,Sarah Mitchell Comm. Cent.,1500 Desire Ave Feasterville Trevose PA 19053,Feasterville
21013,Lower Southampton Twp. East 3,Tawanka Learning Center,2055 Brownsville Rd Langhorne PA 19053,Langhorne
21014,Lower Southampton Twp. East 4,Neshaminy Senior Center,1842 Brownsville Rd Feasterville Trevose PA 19053,Trevose
21015,Lower Southampton Twp. East 5,Scottsville United Methodist Church,2400 Brownsville Rd Langhorne PA 19053,Langhorne
21021,Lower Southampton Twp. West 1,Somerton Springs Ballroom,50 Bustleton Pike Feasterville Trevose PA 19053,Feasterville
21022,Lower Southampton Twp. West 2,Russell Elliot Recreation Field Building,150 Buck Rd Feasterville -Trevose PA 19053,Feasterville
21023,Lower Southampton Twp. West 3,Poquessing Middle School,300 Heights Ln Feasterville-Trevose PA 19053,Feasterville
21024,Lower Southampton Twp. West 4,Joseph Ferderbar Elementary School,300 Heights Ln Feasterville-Trevose PA 19053,Feasterville
21025,Lower Southampton Twp. West 5,Joseph Ferderbar Elementary School,300 Heights Ln Feasterville-Trevose PA 19053,Feasterville
21026,Lower Southampton Twp. West 6,Feasterville Fire House,20 Irving Pl Feasterville Trevose PA 19053,Feasterville
21027,Lower Southampton Twp. West 7,Somerton Springs Ballroom,50 Bustleton Pike Feasterville Trevose PA 19053,Feasterville
22010,Middletown Twp. Lower 1,Parkland Fire Company,831 Avenue D Langhorne PA 19047,Parkland
22020,Middletown Twp. Lower 2,Herbert Hoover Elementary School,501 Trenton Rd Langhorne PA 19047,Langhorne
22030,Middletown Twp. Lower 3,Walter S. Miller Elementary School,10 Cobalt Ridge Dr S Levittown PA 19057,Levittown
22040,Middletown Twp. Lower 4,Walter S. Miller Elementary School,10 Cobalt Ridge Dr S Levittown PA 19057,Levittown
22050,Middletown Twp. Lower 5,Bucks IU22 @ Samuel Everitt Elementary School,145 Forsythia Dr S Levittown PA 19056,Levittown
22060,Middletown Twp. Lower 6,Emmaus Road Lutheran Church,2185 Bristol Oxford Valley Rd Levittown PA 19057,Levittown
22070,Middletown Twp. Lower 7,Sandburg Middle School,30 Harmony Rd Levittown PA 19056,Levittown
22080,Middletown Twp. Lower 8,Middletown Senior Citizens Association,2142 Trenton Rd Levittown PA 19056,Levittown
22090,Middletown Twp. Lower 9,Emmaus Road Lutheran Church,2185 Bristol Oxford Valley Rd Levittown PA 19057,Levittown
22100,Middletown Twp. Lower 10,Bucks IU22 @ Samuel Everitt Elementary School,145 Forsythia Dr S Levittown PA 19056,Levittown
22110,Middletown Twp. Lower 11,Sandburg Middle School,30 Harmony Rd Levittown PA 19056,Levittown
22120,Middletown Twp. Lower 12,Bucks IU22 @ Samuel Everitt Elementary School,145 Forsythia Dr S Levittown PA 19056,Levittown
22130,Middletown Twp. Lower 13,Herbert Hoover Elementary School,501 Trenton Rd Langhorne PA 19047,Langhorne
22210,Middletown Twp. Upper 1,Middletown Township Building,3 Municipal Way Langhorne PA 19047,Langhorne
22220,Middletown Twp. Upper 2,Neshaminy High School,2001 Old Lincoln Hwy Langhorne PA 19047,Langhorne
22230,Middletown Twp. Upper 3,Maple Point Middle School,"2250 Langhorne Yardley Road, Langhorne, PA 19047",Langhorne
22240,Middletown Twp. Upper 4,Neshaminy High School,2001 Old Lincoln Hwy Langhorne PA 19047,Langhorne
22250,Middletown Twp. Upper 5,Beechwood Neuro Rehab,469 E Maple Ave Langhorne PA 19047,Langhorne
22260,Middletown Twp. Upper 6,Maple Point Middle School,2250 Langhorne Yardley Rd Langhorne PA 19047,Langhorne
22270,Middletown Twp. Upper 7,Maple Point Middle School,2250 Langhorne Yardley Rd Langhorne PA 19047,Langhorne
22280,Middletown Twp. Upper 8,Maple Point Middle School,2250 Langhorne Yardley Rd Langhorne PA 19047,Langhorne
22290,Middletown Twp. Upper 9,Middletown Township Building,3 Municipal Way Langhorne PA 19047,Langhorne
23010,Milford Twp. Roeder,Mumbauersville Rod & Gun Club,1911 Klines Mill Rd Pennsburg PA 18073,Pennsburg
23020,Milford Twp. Roseville,East Swamp church youth center,2405 E Swamp Rd Quakertown PA 18951,Quakertown
23030,Milford Twp. Shelly,Milford Township Building,2100 Krammes Rd Quakertown PA 18951,Quakertown
23040,Milford Twp. Trumbauersville,Quakertown United Methodist,1875 Freier Rd Quakertown PA 18951,Quakertown
24010,Morrisville Borough 1st Ward,Morrisville Senior Citizens Center,31 E Cleveland Ave Morrisville PA 19067,Morrisville
24020,Morrisville Borough 2nd Ward,Morrisville Library Building,300 N Pennsylvania Ave Morrisville PA 19067,Morrisville
24030,Morrisville Borough 3rd Ward,Morrisville High School,550 W Palmer St Morrisville PA 19067,Morrisville
24040,Morrisville Borough 4th Ward,Grandview Elementary School,80 Grandview Ave Morrisville PA 19067,Morrisville
25000,New Britain Borough,Lenape Valley Presbyterian Church,321 W Butler Ave New Britain PA 18901,New Britain
26010,New Britain Twp. East,New Britain Township Building,207 Park Avenue Chalfont PA 18914,New Britain
26021,New Britain Twp. West 1,Grace Community Church,300 Highpoint Dr Chalfont PA 18914,Chalfont
26022,New Britain Twp. West 2,"Merck, Sharpe & Dohme Federal Credit Union","335 West Butler Avenue, Chalfont, PA 18914",Chalfont
26031,New Britain Twp. South 1,Simon Butler Elementary School,200 Brittany Dr Chalfont PA 18914,Chalfont
26032,New Britain Twp. South 2,Simon Butler Elementary School,200 Brittany Dr Chalfont PA 18914,Chalfont
27000,New Hope Borough,New Hope Borough Community Room,125 New St New Hope PA 18938,New Hope
28010,Newtown Borough 1st Ward,Newtown Fire Station,14 Liberty St Newtown PA 18940,Newtown
28020,Newtown Borough 2nd Ward,Newtown Joint Municipal Authority,15 S Congress St Newtown PA 18940,Newtown
29010,Newtown Twp. District 1,Newtown Middle School,116 Richboro Rd Newtown PA 18940,Newtown
29020,Newtown Twp. District 2,American Legion Post #440,41 Linden Ave Newtown PA 18940,Newtown
29030,Newtown Twp. District 3,Goodnoe Elementary School,298 Frost Ln Newtown PA 18940,Newtown
29040,Newtown Twp. District 4,Newtown Middle School,116 Richboro Rd Newtown PA 18940,Newtown
29050,Newtown Twp. District 5,Newtown Reformed Church,206 Buck Road Newtown PA 18940,Newtown
29060,Newtown Twp. District 6,Goodnoe Elementary School,298 Frost Ln Newtown PA 18940,Newtown
29070,Newtown Twp. District 7,Newtown Grant Homeowners Assoc Rec Center,360 Eagle Rd Newtown PA 18940,Newtown
29080,Newtown Twp. District 8,Newtown Township Building,100 Municipal Dr Newtown PA 18940,Newtown
30010,Nockamixon Twp. Nockamixon,Palisades High School,35 Church Hill Rd Kintnersville PA 18930,Kintnersville
30020,Nockamixon Twp. Revere,Palisades High School,35 Church Hill Rd Kintnersville PA 18930,Kintnersville
31010,Northampton Twp. District 1,Advent Lutheran Church,45 Worthington Mill Rd Richboro PA 18954,Richboro
31020,Northampton Twp. District 2,Churchville Elementary School,100 New Rd Churchville PA 18966,Churchville
31030,Northampton Twp. District 3,Hillcrest Elementary School,420 E Holland Rd Southampton PA 18966,Southampton
31040,Northampton Twp. District 4,Maureen W. Welch Elementary School,750 New Rd Churchville PA 18966,Churchville
31050,Northampton Twp. District 5,Holland Elementary School,597 Beverly Rd Holland PA 18966,Holland
31060,Northampton Twp. District 6,Holland Elementary School,597 Beverly Rd Holland PA 18966,Richboro
31070,Northampton Twp. District 7,Richboro Elementary School,"125 Upper Holland Road, Richboro, PA 18954",Richboro
31080,Northampton Twp. District 8,Maureen W. Welch Elementary School,750 New Rd Churchville PA 18966,Churchville
31090,Northampton Twp. District 9,Holland Middle School,400 E Holland Rd Holland PA 18966,Holland
31100,Northampton Twp. District 10,Rolling Hills Elementary School,340 Middle Holland Rd Holland PA 18966,Holland
31110,Northampton Twp. District 11,Tapestry Clubhouse,100 Independence Dr Holland PA 18966,Holland
31120,Northampton Twp. District 12,Richboro Elementary School,"125 Upper Holland Road, Richboro, PA 18954",Richboro
31130,Northampton Twp. District 13,Northampton Township Fire Company,283 Hatboro Rd Churchville PA 18966,Churchville
31140,Northampton Twp. District 14,Village Shires Community Center #1,3001 E Village Rd Holland PA 18966,Holland
31150,Northampton Twp. District 15,Northampton Township Building,55 Township Rd Richboro PA 18954,Richboro
31160,Northampton Twp. District 16,Village Shires Community Center #1,3001 E Village Rd Holland PA 18966,Holland
31170,Northampton Twp. District 17,Rolling Hills Elementary School,340 Middle Holland Rd Holland PA 18966,Holland
31180,Northampton Twp. District 18,Northampton Township Building,55 Township Rd Richboro PA 18954,Richboro
32000,Penndel Borough,Penndel Borough Hall,300 Bellevue Ave Penndel PA 19047,Penndel
33010,Perkasie Borough 1st Ward,Perkasie Fire Company,100 N 5th St Perkasie PA 18944,Perkasie
33020,Perkasie Borough 2nd Ward,Perkasie Borough Hall,620 W Chestnut St Perkasie PA 18944,Perkasie
33030,Perkasie Borough 3rd Ward,St. Andrew's Lutheran Church,20 Dill Ave Perkasie PA 18944,Perkasie
34010,Plumstead Twp. District 1,Point Pleasant Fire Company,6500 Point Pleasant Pike Point Pleasant PA 18950,Point Pleasant
34020,Plumstead Twp. District 2,Plumsteadville Firehouse,5064 Stump Rd Plumsteadville PA 18949,Plumsteadville
34030,Plumstead Twp. District 3,Tohickon Middle School,5051 Old Easton Rd Doylestown PA 18902,Doylestown
34040,Plumstead Twp. District 4,Joseph E. Hanusey III Community Center,4757 Gordon Rd Doylestown PA 18902,Doylestown
34050,Plumstead Twp. District 5,Tohickon Middle School,5051 Old Easton Rd Doylestown PA 18902,Doylestown
35011,Quakertown Borough 1 - 1,West End Fire Company,1319 Park Ave Quakertown PA 18951,Quakertown
35012,Quakertown Borough 1 - 2,Grundy House,1611 Park Ave Quakertown PA 18951,Quakertown
35020,Quakertown Borough 2nd Ward,First United Church of Christ,151 S 4th St Quakertown PA 18951,Quakertown
35030,Quakertown Borough 3rd Ward,Neidig Elementary School,201 N Penrose St Quakertown PA 18951,Quakertown
35040,Quakertown Borough 4th Ward,Quakertown Elementary School,123 S 7th St Quakertown PA 18951,Quakertown
36010,Richland Twp. District 1,Richland Elementary School,500 Fairview Ave Quakertown PA 18951,Quakertown
36020,Richland Twp. District 2,Richland Township Building,1328 California Rd Quakertown PA 18951,Quakertown
36030,Richland Twp. District 3,Grace Bible Fellowship Church,1811 N Old Bethlehem Pike Quakertown PA 18951,Quakertown
36040,Richland Twp. District 4,First Church of the Brethren,455 Trumbauersville Rd Quakertown PA 18951,Quakertown
37000,Richlandtown Borough,St. John's Activity Center,26 First Ave Richlandtown PA 18955,Richlandtown
38000,Riegelsville Borough,Riegelsville Borough Hall,615 Easton Rd Riegelsville PA 18077,Riegelsville
39010,Sellersville Borough District 1,Sellersville Fire Department,2 N Main St Sellersville PA 18960,Sellersville
39020,Sellersville Borough District 2,St. Paul's United Church of Christ,104 Green St Sellersville PA 18960,Sellersville
39030,Sellersville Borough District 3,Sellersville Fire Department,2 N Main St Sellersville PA 18960,Sellersville
40000,Silverdale Borough,Silverdale Brethren in Christ Church,167 W Main St Silverdale PA 18962,Silverdale
41011,Solebury Twp. Lower 1,Thompson Memorial Presbyterian Church,"1680 Aquetong Road, New Hope, PA 18938",New Hope
41012,Solebury Twp. Lower 2,Thompson Memorial Presbyterian Church,"1680 Aquetong Road, New Hope, PA 18938",New Hope
41020,Solebury Twp. Middle,Solebury Township Building,3092 Sugan Rd Solebury PA 18963,Solebury
41030,Solebury Twp. Upper,Trinity Episcopal Church Solebury,6587 Upper York Rd Solebury PA 18963,Solebury
42010,Springfield Twp. East,Springtown Fire Company,3010 Route 212 Springtown PA 18081,Springtown
42020,Springfield Twp. Middle,Trinity Evangelical Lutheran Church,2170 Route 212 Coopersburg PA 18036,Coopersburg
42030,Springfield Twp. West,Passer Community Center,2580 Richlandtown Pike Coopersburg PA 18036,Coopersburg
43000,Telford Borough,Telford Borough Community Center,125 S Hamilton St Telford PA 18969,Telford
