OFFICIAL ELECTION RESULTS
Bucks
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","197","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","40","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","37","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","19","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","15","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","146","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","140","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","127","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","110","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","52","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","32","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","30","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","28","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","8","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","2","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","2","29.97%"
"Doylestown Twp #8","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","2","29.97%"
"Doylestown Twp #8","DISTRICT ATTORNEY (Dem)","JOE KHAN","211","29.97%"
"Doylestown Twp #8","DISTRICT ATTORNEY (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","163","29.97%"
"Doylestown Twp #8","DISTRICT ATTORNEY (Rep)","Write-in","5","29.97%"
"Doylestown Twp #8","SHERIFF (Dem)","DANIEL LEO CEISLER","232","29.97%"
"Doylestown Twp #8","SHERIFF (Dem)","Write-in","1","29.97%"
"Doylestown Twp #8","SHERIFF (Rep)","FRED HARRAN","178","29.97%"
"Doylestown Twp #8","SHERIFF (Rep)","Write-in","5","29.97%"
"Doylestown Twp #8","PROTHONOTARY (Dem)","DONNA PETRECCO","229","29.97%"
"Doylestown Twp #8","PROTHONOTARY (Dem)","Write-in","1","29.97%"
"Doylestown Twp #8","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","173","29.97%"
"Doylestown Twp #8","PROTHONOTARY (Rep)","Write-in","5","29.97%"
"Doylestown Twp #8","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","231","29.97%"
"Doylestown Twp #8","RECORDER OF DEEDS (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","175","29.97%"
"Doylestown Twp #8","RECORDER OF DEEDS (Rep)","Write-in","5","29.97%"
"Doylestown Twp #8","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","227","29.97%"
"Doylestown Twp #8","COUNTY CONTROLLER (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","174","29.97%"
"Doylestown Twp #8","COUNTY CONTROLLER (Rep)","Write-in","7","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem)","AMANDA O'CONNOR","220","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem)","ANDREW MILLER","20","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep)","ANDREW MILLER","140","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep)","AMANDA O'CONNOR","39","29.97%"
"Doylestown Twp #8","CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep)","Write-in","0","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","CHRISTINA MAIDA","211","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","DAN WOOD","201","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","0","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","JOSEPH VAN HOUTEN","148","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","ROB CAROSELLI","138","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","7","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","5","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem)","SARA A. FRISTER","227","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem)","Write-in","2","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","SARAH TOMLINSON","174","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","Write-in","4","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP AUDITOR - 6 YEAR (Dem)","Write-in","83","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP AUDITOR - 6 YEAR (Rep)","Write-in","21","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP DISTRICT 8  JUDGE OF ELECTIONS (Dem)","Write-in","50","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP DISTRICT 8  JUDGE OF ELECTIONS (Rep)","Write-in","14","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP DISTRICT 8 INSPECTOR OF ELECTIONS (Dem)","Write-in","18","29.97%"
"Doylestown Twp #8","DOYLESTOWN TOWNSHIP DISTRICT 8 INSPECTOR OF ELECTIONS (Rep)","Write-in","18","29.97%"
"Dublin Boro","JUDGE OF THE SUPERIOR COURT (Dem)","BRANDON NEUMAN","132","20.39%"
"Dublin Boro","JUDGE OF THE SUPERIOR COURT (Dem)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE SUPERIOR COURT (Rep)","ANN MARIE WHEATCRAFT","73","20.39%"
"Dublin Boro","JUDGE OF THE SUPERIOR COURT (Rep)","MARIA BATTISTA","33","20.39%"
"Dublin Boro","JUDGE OF THE SUPERIOR COURT (Rep)","Write-in","1","20.39%"
"Dublin Boro","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","130","20.39%"
"Dublin Boro","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","1","20.39%"
"Dublin Boro","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","60","20.39%"
"Dublin Boro","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","43","20.39%"
"Dublin Boro","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","1","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","111","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","103","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","99","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","96","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","37","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","29","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","24","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","12","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","98","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","85","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","84","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","76","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","60","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","15","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","12","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","6","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","1","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","20.39%"
"Dublin Boro","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","20.39%"
"Dublin Boro","DISTRICT ATTORNEY (Dem)","JOE KHAN","129","20.39%"
"Dublin Boro","DISTRICT ATTORNEY (Dem)","Write-in","0","20.39%"
"Dublin Boro","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","99","20.39%"
"Dublin Boro","DISTRICT ATTORNEY (Rep)","Write-in","0","20.39%"
"Dublin Boro","SHERIFF (Dem)","DANIEL LEO CEISLER","131","20.39%"
"Dublin Boro","SHERIFF (Dem)","Write-in","1","20.39%"
"Dublin Boro","SHERIFF (Rep)","FRED HARRAN","111","20.39%"
"Dublin Boro","SHERIFF (Rep)","Write-in","1","20.39%"
"Dublin Boro","PROTHONOTARY (Dem)","DONNA PETRECCO","131","20.39%"
"Dublin Boro","PROTHONOTARY (Dem)","Write-in","0","20.39%"
"Dublin Boro","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","109","20.39%"
"Dublin Boro","PROTHONOTARY (Rep)","Write-in","1","20.39%"
"Dublin Boro","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","132","20.39%"
"Dublin Boro","RECORDER OF DEEDS (Dem)","Write-in","0","20.39%"
"Dublin Boro","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","111","20.39%"
"Dublin Boro","RECORDER OF DEEDS (Rep)","Write-in","2","20.39%"
"Dublin Boro","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","132","20.39%"
"Dublin Boro","COUNTY CONTROLLER (Dem)","Write-in","1","20.39%"
"Dublin Boro","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","112","20.39%"
"Dublin Boro","COUNTY CONTROLLER (Rep)","Write-in","1","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","CARLY TAYLOR","129","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","THOMAS TRAUGER","113","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","NATHANIEL LEFFEVER","111","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","DAN BEBERNITZ","109","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","DANIEL P. MAINIERI, III","24","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","Write-in","1","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","Write-in","0","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","Write-in","0","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem)","Write-in","0","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","BRIAN MCMULLEN","93","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","MICHAEL BONGIOVANNI","93","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","JONATHAN RUSSELL","91","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","DANIEL P. MAINIERI, III","84","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","CARLY TAYLOR","20","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","THOMAS TRAUGER","16","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","NATHANIEL LEFFEVER","16","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","DAN BEBERNITZ","7","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","Write-in","1","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","Write-in","0","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","Write-in","0","20.39%"
"Dublin Boro","PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep)","Write-in","0","20.39%"
"Dublin Boro","DUBLIN BOROUGH MAYOR - 4 YEAR (Dem)","Write-in","16","20.39%"
"Dublin Boro","DUBLIN BOROUGH MAYOR - 4 YEAR (Rep)","CHRISTOPHER N. HAYES","101","20.39%"
"Dublin Boro","DUBLIN BOROUGH MAYOR - 4 YEAR (Rep)","Write-in","3","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","MARIANNA LEFFEVER","116","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","JEANETTE PASQUA","115","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","Write-in","3","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","Write-in","2","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","Write-in","0","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Dem)","Write-in","0","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","JEFFREY J. SHARER","87","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","MATTHEW S. MAYES","83","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","Write-in","18","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","Write-in","11","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","Write-in","4","20.39%"
"Dublin Boro","DUBLIN BOROUGH COUNCIL- 4 YEAR (Rep)","Write-in","4","20.39%"
"Dublin Boro","DUBLIN BOROUGH TAX COLLECTOR - 4 YEAR (Dem)","Write-in","10","20.39%"
"Dublin Boro","DUBLIN BOROUGH TAX COLLECTOR - 4 YEAR (Rep)","SUSAN PAFF","108","20.39%"
"Dublin Boro","DUBLIN BOROUGH TAX COLLECTOR - 4 YEAR (Rep)","Write-in","0","20.39%"
"Dublin Boro","DUBLIN BOROUGH JUDGE OF ELECTIONS (Dem)","Write-in","9","20.39%"
"Dublin Boro","DUBLIN BOROUGH JUDGE OF ELECTIONS (Rep)","Write-in","9","20.39%"
"Dublin Boro","DUBLIN BOROUGH INSPECTOR OF ELECTIONS (Dem)","Write-in","8","20.39%"
"Dublin Boro","DUBLIN BOROUGH INSPECTOR OF ELECTIONS (Rep)","Write-in","10","20.39%"
"Durham Twp","JUDGE OF THE SUPERIOR COURT (Dem)","BRANDON NEUMAN","82","28.79%"
"Durham Twp","JUDGE OF THE SUPERIOR COURT (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE SUPERIOR COURT (Rep)","MARIA BATTISTA","75","28.79%"
"Durham Twp","JUDGE OF THE SUPERIOR COURT (Rep)","ANN MARIE WHEATCRAFT","41","28.79%"
"Durham Twp","JUDGE OF THE SUPERIOR COURT (Rep)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","78","28.79%"
"Durham Twp","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","82","28.79%"
"Durham Twp","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","33","28.79%"
"Durham Twp","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","77","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","72","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","65","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","65","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","23","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","15","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","15","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","8","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GRACE DEON","104","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","CHELSEY CROCKER JACKMAN","94","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","GARY GAMBARDELLA","79","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","COLIN MONAHAN","51","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","JOSEPH PIZZO","50","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","AMY FITZPATRICK","24","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","LINDA BOBRIN","11","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","DAWN DIDONATO BURKE","9","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","1","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","28.79%"
"Durham Twp","JUDGE OF THE COURT OF COMMON PLEAS (Rep)","Write-in","0","28.79%"
"Durham Twp","DISTRICT ATTORNEY (Dem)","JOE KHAN","75","28.79%"
"Durham Twp","DISTRICT ATTORNEY (Dem)","Write-in","0","28.79%"
"Durham Twp","DISTRICT ATTORNEY (Rep)","JENNIFER SCHORN","109","28.79%"
"Durham Twp","DISTRICT ATTORNEY (Rep)","Write-in","0","28.79%"
"Durham Twp","SHERIFF (Dem)","DANIEL LEO CEISLER","82","28.79%"
"Durham Twp","SHERIFF (Dem)","Write-in","1","28.79%"
"Durham Twp","SHERIFF (Rep)","FRED HARRAN","118","28.79%"
"Durham Twp","SHERIFF (Rep)","Write-in","0","28.79%"
"Durham Twp","PROTHONOTARY (Dem)","DONNA PETRECCO","81","28.79%"
"Durham Twp","PROTHONOTARY (Dem)","Write-in","0","28.79%"
"Durham Twp","PROTHONOTARY (Rep)","COLEEN CHRISTIAN","120","28.79%"
"Durham Twp","PROTHONOTARY (Rep)","Write-in","0","28.79%"
"Durham Twp","RECORDER OF DEEDS (Dem)","ROBIN ROBINSON","85","28.79%"
"Durham Twp","RECORDER OF DEEDS (Dem)","Write-in","0","28.79%"
"Durham Twp","RECORDER OF DEEDS (Rep)","DAN MCPHILLIPS","119","28.79%"
"Durham Twp","RECORDER OF DEEDS (Rep)","Write-in","0","28.79%"
"Durham Twp","COUNTY CONTROLLER (Dem)","NEALE DOUGHERTY","80","28.79%"
"Durham Twp","COUNTY CONTROLLER (Dem)","Write-in","0","28.79%"
"Durham Twp","COUNTY CONTROLLER (Rep)","PAMELA VAN BLUNK","118","28.79%"
"Durham Twp","COUNTY CONTROLLER (Rep)","Write-in","0","28.79%"
"Durham Twp","PALISADES SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem)","JAMES D. OTT","60","28.79%"
"Durham Twp","PALISADES SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem)","Write-in","2","28.79%"
"Durham Twp","PALISADES SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep)","JAMES D. OTT","113","28.79%"
"Durham Twp","PALISADES SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep)","Write-in","1","28.79%"
"Durham Twp","DURHAM TOWNSHIP SUPERVISOR - 6 YEAR (Dem)","Write-in","8","28.79%"
"Durham Twp","DURHAM TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","BARTLEY E. MILLETT","113","28.79%"
"Durham Twp","DURHAM TOWNSHIP SUPERVISOR - 6 YEAR (Rep)","Write-in","1","28.79%"
"Durham Twp","DURHAM TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem)","Write-in","8","28.79%"
"Durham Twp","DURHAM TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","PATTY SALVA","115","28.79%"
"Durham Twp","DURHAM TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep)","Write-in","0","28.79%"
"Durham Twp","DURHAM TOWNSHIP AUDITOR - 6 YEAR (Dem)","Write-in","4","28.79%"
"Durham Twp","DURHAM TOWNSHIP AUDITOR - 6 YEAR (Rep)","LYNN GAUN","105","28.79%"
"Durham Twp","DURHAM TOWNSHIP AUDITOR - 6 YEAR (Rep)","Write-in","0","28.79%"
"Durham Twp","DURHAM TOWNSHIP JUDGE OF ELECTIONS (Dem)","Write-in","8","28.79%"
"Durham Twp","DURHAM TOWNSHIP JUDGE OF ELECTIONS (Rep)","Write-in","22","28.79%"
"Durham Twp","DURHAM TOWNSHIP INSPECTOR OF ELECTIONS (Dem)","Write-in","6","28.79%"
"Durham Twp","DURHAM TOWNSHIP INSPECTOR OF ELECTIONS (Rep)","Write-in","11","28.79%"
"East Rockhill Twp #1","JUDGE OF THE SUPERIOR COURT (Dem)","BRANDON NEUMAN","183","24.89%"
"East Rockhill Twp #1","JUDGE OF THE SUPERIOR COURT (Dem)","Write-in","0","24.89%"
"East Rockhill Twp #1","JUDGE OF THE SUPERIOR COURT (Rep)","ANN MARIE WHEATCRAFT","146","24.89%"
"East Rockhill Twp #1","JUDGE OF THE SUPERIOR COURT (Rep)","MARIA BATTISTA","97","24.89%"
"East Rockhill Twp #1","JUDGE OF THE SUPERIOR COURT (Rep)","Write-in","3","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COMMONWEALTH COURT (Dem)","STELLA TSAI","182","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COMMONWEALTH COURT (Dem)","Write-in","0","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","MATT WOLFORD","127","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","JOSH PRINCE","117","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COMMONWEALTH COURT (Rep)","Write-in","3","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","LINDA BOBRIN","149","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","AMY FITZPATRICK","148","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","DAWN DIDONATO BURKE","129","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","TIFFANY THOMAS-SMITH","125","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GARY GAMBARDELLA","63","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","CHELSEY CROCKER JACKMAN","47","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","GRACE DEON","34","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","JOSEPH PIZZO","28","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","1","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.89%"
"East Rockhill Twp #1","JUDGE OF THE COURT OF COMMON PLEAS (Dem)","Write-in","0","24.89%"
