contest_name,party,precincts,file
LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_southampton_township_auditor_6_year_rep.html
 PENNSBURY SCHOOL DIRECTOR REGION 2 - 2 YEAR  (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennsbury_school_director_region_2_2_year_rep.html
NESHAMINY SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep),Rep,11,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\neshaminy_school_director_region_2_4_year_rep.html
PENNSBURY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennsbury_school_director_region_1_4_year_rep.html
UPPER SOUTHAMPTON TWP SUPERVISOR - 6 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_supervisor_6_year_rep.html
CENTENNIAL SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\centennial_school_director_region_2_4_year_rep.html
BRISTOL BOROUGH SCHOOL DIRECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_school_director_4_year_rep.html
CENTENNIAL SCHOOL DIRECTOR REGION 1 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\centennial_school_director_region_1_4_year_rep.html
UPPER SOUTHAMPTON TWP TAX COLLECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_tax_collector_4_year_rep.html
UPPER SOUTHAMPTON TWP AUDITOR - 6 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_auditor_6_year_rep.html
BRISTOL BOROUGH MAYOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_mayor_4_year_rep.html
BRISTOL BOROUGH TAX COLLECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_tax_collector_4_year_rep.html
