precinctid,municipality_district,Contest Name,contest_base,contest_party,Candidate Name,Votes
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,103
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,79
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,63
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,93
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,111
02055-1,Bensalem Twp. Upper 5,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,14
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,93
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,91
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,95
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,78
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,91
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,93
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,31
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,131
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,106
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,104
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,104
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,99
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,49
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,106
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,108
02056-1,Bensalem Twp. Upper 6,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,2
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,60
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,70
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,71
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,50
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,57
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,61
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,33
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,92
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,73
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,74
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,73
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,62
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,45
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,75
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,82
02057-1,Bensalem Twp. Upper 7,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,16
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,119
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,121
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,115
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,103
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,118
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,118
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,45
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,152
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,129
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,117
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,132
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,114
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,70
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,127
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,138
02058-1,Bensalem Twp. Upper 8,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,11
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,136
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,145
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,138
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,107
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,133
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,133
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,60
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,210
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,167
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,165
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,171
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,137
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,98
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,149
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,186
02059-1,Bensalem Twp. Upper 9,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,1
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,76
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,79
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,78
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,52
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,74
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,85
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,49
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,118
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,102
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,93
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,92
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,74
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,73
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,96
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,107
02060-1,Bensalem Twp. Upper 10,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,1
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,204
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,191
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,184
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,136
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,171
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,187
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,69
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,274
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,223
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,202
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,210
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,190
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,126
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,215
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,234
02061-1,Bensalem Twp. Upper 11,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,30
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,98
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,101
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,100
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,76
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,99
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,98
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,41
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,137
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,118
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,109
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,121
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,105
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,58
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,103
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,120
02062-1,Bensalem Twp. Upper 12,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,1
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,100
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,121
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,95
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,85
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,110
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,74
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,35
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,91
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,91
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,92
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,99
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,71
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,46
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,86
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,79
03000-1,Bridgeton Twp.,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,6
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,62
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,66
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,53
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,50
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,61
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,62
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,23
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,86
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,77
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,63
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,88
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,59
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,49
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,57
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,68
04011-1,Bristol Borough North 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,8
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,54
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,65
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,65
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,46
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,56
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,61
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,31
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,86
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,80
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,61
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,84
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,61
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Seema Kazmi,56
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Steve Wojciechowski,59
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Umar Farooq,69
04012-1,Bristol Borough North 2,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Write-in,0
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Connor O'Hanlon,107
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Eleanor Breslin,116
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Emily Goble Smith,110
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Ijaz Manzoor Chaudhry,72
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Jessica J. Malobisky,104
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,John B. Lewis,119
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Kyle Esposito,52
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Leann Hart,179
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Liz Warren,160
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Marlene Katz,120
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Nastasha Raisley,176
04021-1,Bristol Borough East 1,DEMOCRATIC STATE COMMITTEE (Dem),DEMOCRATIC STATE COMMITTEE,Dem,Paul Robert Roden,114
